generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T17:36:45.457000Z,7,200,11,11,5,0,11.0,0.8940678518855221,20,0,20,0.0,0.0075,0.993,1.0,0.0,1293.88,1.0,0.6452015809524758,0.467,%{cpu_percent: 45.0; memory_mb: 512},998520,1480,3,7,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:36:45.471000Z,6,200,10,10,8,0,10.0,0.8590666407367303,20,0,20,0.0,0.0071,0.993,1.0,0.0,1397.94,1.0,0.8766392504736689,0.232,%{cpu_percent: 45.0; memory_mb: 512},996475,2045,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:36:45.484000Z,3,200,12,12,6,0,12.0,0.8091363906242853,20,0,20,0.0,0.0077,0.992,1.0,0.0,1514.21,1.0,0.6862584442339308,0.486,%{cpu_percent: 45.0; memory_mb: 512},994928,1547,3,8,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:36:45.505000Z,5,200,10,10,8,0,10.0,0.9165095083848291,20,0,20,0.0,0.0088,0.991,1.0,0.0,1438.04,1.0,0.6680306854970289,0.471,%{cpu_percent: 45.0; memory_mb: 512},993606,1322,3,3,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:36:45.520000Z,4,200,10,10,7,0,10.0,0.809118872415643,20,0,20,0.0,0.0083,0.992,1.0,0.0,1444.45,1.0,0.8626276810376567,0.478,%{cpu_percent: 45.0; memory_mb: 512},991485,2121,3,8,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:36:45.540000Z,8,200,8,8,11,0,8.0,0.9097464632285284,20,0,20,0.0,0.007,0.993,1.0,0.0,1230.96,1.0,0.8478838345369619,0.407,%{cpu_percent: 45.0; memory_mb: 512},990071,1414,3,8,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:36:45.555000Z,3,200,12,12,8,0,12.0,0.8340460066087128,20,0,20,0.0,0.0081,0.992,1.0,0.0,1759.65,1.0,0.7591842527613146,0.519,%{cpu_percent: 45.0; memory_mb: 512},987757,2314,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:36:45.570000Z,3,200,9,9,6,0,9.0,0.8817426217909382,20,0,20,0.0,0.0076,0.992,1.0,0.0,1243.21,1.0,0.6018810247826657,0.385,%{cpu_percent: 45.0; memory_mb: 512},984381,3376,3,8,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:36:45.587000Z,4,200,12,12,8,0,12.0,0.9346076905292764,20,0,20,0.0,0.0063,0.994,1.0,0.0,1691.52,1.0,0.7342941593934137,0.279,%{cpu_percent: 45.0; memory_mb: 512},983185,1196,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:36:45.601000Z,3,200,11,11,4,1,11.0,0.8903436429380843,20,0,20,0.0,0.0051,0.995,1.0,0.0,1207.19,1.0,0.6708538490948022,0.447,%{cpu_percent: 45.0; memory_mb: 512},981096,2089,3,4,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:41:49.091000Z,18,200,11,11,5,0,11.0,0.8940678518855221,20,0,20,0.0,0.0075,0.993,1.0,0.0,1293.88,1.0,0.6452015809524758,0.467,%{cpu_percent: 45.0; memory_mb: 512},998520,1480,3,7,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:41:49.106000Z,3,200,10,10,8,0,10.0,0.8590666407367303,20,0,20,0.0,0.0071,0.993,1.0,0.0,1397.94,1.0,0.8766392504736689,0.232,%{cpu_percent: 45.0; memory_mb: 512},996475,2045,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:41:49.132000Z,5,200,13,13,6,0,13.0,0.8091363906242853,20,0,20,0.0,0.0077,0.992,1.0,0.0,1615.16,1.0,0.6862584442339308,0.486,%{cpu_percent: 45.0; memory_mb: 512},994928,1547,3,8,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:41:49.149000Z,8,200,10,10,8,0,10.0,0.9165095083848291,20,0,20,0.0,0.0088,0.991,1.0,0.0,1438.04,1.0,0.6680306854970289,0.471,%{cpu_percent: 45.0; memory_mb: 512},993606,1322,3,3,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:41:49.170000Z,3,200,10,10,7,0,10.0,0.809118872415643,20,0,20,0.0,0.0083,0.992,1.0,0.0,1444.45,1.0,0.8626276810376567,0.478,%{cpu_percent: 45.0; memory_mb: 512},991485,2121,3,8,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:41:49.176000Z,4,200,7,7,11,0,7.0,0.9097464632285284,20,0,20,0.0,0.007,0.993,1.0,0.0,1139.78,1.0,0.8478838345369619,0.407,%{cpu_percent: 45.0; memory_mb: 512},990071,1414,3,8,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:41:49.195000Z,6,200,13,13,8,0,13.0,0.8340460066087128,20,0,20,0.0,0.0081,0.992,1.0,0.0,1869.63,1.0,0.7591842527613146,0.519,%{cpu_percent: 45.0; memory_mb: 512},987757,2314,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:41:49.220000Z,5,200,9,9,6,0,9.0,0.8817426217909382,20,0,20,0.0,0.0076,0.992,1.0,0.0,1243.21,1.0,0.6018810247826657,0.385,%{cpu_percent: 45.0; memory_mb: 512},984381,3376,3,8,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:41:49.236000Z,4,200,12,12,9,0,12.0,0.9346076905292764,20,0,20,0.0,0.0063,0.994,1.0,0.0,1744.38,1.0,0.7342941593934137,0.279,%{cpu_percent: 45.0; memory_mb: 512},983185,1196,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:41:49.254000Z,3,200,12,12,4,1,12.0,0.8903436429380843,20,0,20,0.0,0.0051,0.995,1.0,0.0,1300.05,1.0,0.6708538490948022,0.447,%{cpu_percent: 45.0; memory_mb: 512},981096,2089,3,4,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:44:54.955000Z,3,200,18,18,4,0,18.0,0.8940678518855221,20,0,20,0.0,0.0075,0.993,1.0,0.0,1916.86,1.0,0.6452015809524758,0.467,%{cpu_percent: 45.0; memory_mb: 512},998520,1480,3,7,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:44:54.978000Z,10,200,16,16,10,0,16.0,0.8590666407367303,20,0,20,0.0,0.0071,0.993,1.0,0.0,2096.91,1.0,0.8766392504736689,0.232,%{cpu_percent: 45.0; memory_mb: 512},996475,2045,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:44:54.988000Z,3,200,24,24,6,0,24.0,0.8091363906242853,20,0,20,0.0,0.0077,0.992,1.0,0.0,2725.58,1.0,0.6862584442339308,0.486,%{cpu_percent: 45.0; memory_mb: 512},994928,1547,3,8,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:44:55.004000Z,5,200,17,17,10,0,17.0,0.9165095083848291,20,0,20,0.0,0.0088,0.991,1.0,0.0,2259.78,1.0,0.6680306854970289,0.471,%{cpu_percent: 45.0; memory_mb: 512},993606,1322,3,3,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:44:55.019000Z,3,200,16,16,8,0,16.0,0.809118872415643,20,0,20,0.0,0.0083,0.992,1.0,0.0,2139.93,1.0,0.8626276810376567,0.478,%{cpu_percent: 45.0; memory_mb: 512},991485,2121,3,8,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:44:55.034000Z,3,200,9,9,16,0,9.0,0.9097464632285284,20,0,20,0.0,0.007,0.993,1.0,0.0,1550.1,1.0,0.8478838345369619,0.407,%{cpu_percent: 45.0; memory_mb: 512},990071,1414,3,8,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:44:55.055000Z,8,200,24,24,10,0,24.0,0.8340460066087128,20,0,20,0.0,0.0081,0.992,1.0,0.0,3189.37,1.0,0.7591842527613146,0.519,%{cpu_percent: 45.0; memory_mb: 512},987757,2314,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:44:55.070000Z,4,200,12,12,6,0,12.0,0.8817426217909382,20,0,20,0.0,0.0076,0.992,1.0,0.0,1554.01,1.0,0.6018810247826657,0.385,%{cpu_percent: 45.0; memory_mb: 512},984381,3376,3,8,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:44:55.089000Z,2,200,23,23,11,0,23.0,0.9346076905292764,20,0,20,0.0,0.0063,0.994,1.0,0.0,3013.02,1.0,0.7342941593934137,0.279,%{cpu_percent: 45.0; memory_mb: 512},983185,1196,3,4,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:44:55.102000Z,3,200,20,20,3,2,20.0,0.8903436429380843,20,0,20,0.0,0.0051,0.995,1.0,0.0,1996.51,1.0,0.6708538490948022,0.447,%{cpu_percent: 45.0; memory_mb: 512},981096,2089,3,4,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:45:57.183000Z,13,200,18,18,4,0,18.0,0.8940678518855221,20,0,20,0.0,0.0075,0.993,1.0,0.0,1916.86,1.0,0.6452015809524758,0.467,%{cpu_percent: 45.0; memory_mb: 512},998520,1480,3,7,20,civ_adapt_gen1,0,100.0,0.05
