generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T17:36:44.504000Z,18,200,11,11,9,0,11.0,0.9494639989524257,20,0,20,0.0,0.0063,0.994,1.0,0.0,1485.33,1.0,0.8186880194645313,0.224,%{cpu_percent: 45.0; memory_mb: 512},998120,1880,3,8,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:36:44.550000Z,2,200,12,12,6,0,12.0,0.8260718163964186,20,0,20,0.0,0.0056,0.994,1.0,0.0,1399.91,1.0,0.8409803629877418,0.391,%{cpu_percent: 45.0; memory_mb: 512},995196,2924,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:36:44.679000Z,3,200,9,9,6,0,9.0,0.9481716209836315,20,0,20,0.0,0.0058,0.994,1.0,0.0,1163.08,1.0,0.8268807443756635,0.256,%{cpu_percent: 45.0; memory_mb: 512},992074,3122,3,7,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:36:44.693000Z,4,200,11,11,5,0,11.0,0.8864297925577234,20,0,20,0.0,0.006,0.994,1.0,0.0,1377.06,1.0,0.873110997881981,0.409,%{cpu_percent: 45.0; memory_mb: 512},990637,1437,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:36:44.713000Z,3,200,9,9,7,0,9.0,0.8610910145766845,20,0,20,0.0,0.0067,0.993,1.0,0.0,1370.12,1.0,0.8228090173539859,0.419,%{cpu_percent: 45.0; memory_mb: 512},988347,2290,3,6,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:36:44.730000Z,3,200,9,9,9,0,9.0,0.8047741537042399,20,0,20,0.0,0.0063,0.994,1.0,0.0,1395.21,1.0,0.6543873826527263,0.438,%{cpu_percent: 45.0; memory_mb: 512},985595,2752,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:36:44.747000Z,4,200,10,10,7,0,10.0,0.8160156595994106,20,0,20,0.0,0.0068,0.993,1.0,0.0,1404.34,1.0,0.6657707877675052,0.33,%{cpu_percent: 45.0; memory_mb: 512},983464,2131,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:36:44.763000Z,3,200,12,12,5,0,12.0,0.8641472821896193,20,0,20,0.0,0.0068,0.993,1.0,0.0,1305.95,1.0,0.6518144439842488,0.403,%{cpu_percent: 45.0; memory_mb: 512},980628,2836,3,4,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:36:44.782000Z,5,200,9,9,9,0,9.0,0.880223158518078,20,0,20,0.0,0.0076,0.992,1.0,0.0,1267.13,1.0,0.7952788583968803,0.499,%{cpu_percent: 45.0; memory_mb: 512},979024,1604,3,6,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:36:44.806000Z,3,200,12,12,6,0,12.0,0.8229331727322092,20,0,20,0.0,0.0066,0.993,1.0,0.0,1521.73,1.0,0.8665912451585877,0.362,%{cpu_percent: 45.0; memory_mb: 512},976156,2868,3,7,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:41:48.274000Z,7,200,12,12,10,0,12.0,0.9494639989524257,20,0,20,0.0,0.0063,0.994,1.0,0.0,1629.07,1.0,0.8186880194645313,0.224,%{cpu_percent: 45.0; memory_mb: 512},998120,1880,3,8,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:41:48.320000Z,3,200,12,12,5,0,12.0,0.8260718163964186,20,0,20,0.0,0.0056,0.994,1.0,0.0,1353.24,1.0,0.8409803629877418,0.391,%{cpu_percent: 45.0; memory_mb: 512},995196,2924,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:41:48.334000Z,10,200,8,8,6,0,8.0,0.9481716209836315,20,0,20,0.0,0.0058,0.994,1.0,0.0,1066.16,1.0,0.8268807443756635,0.256,%{cpu_percent: 45.0; memory_mb: 512},992074,3122,3,7,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:41:48.353000Z,15,200,11,11,5,0,11.0,0.8864297925577234,20,0,20,0.0,0.006,0.994,1.0,0.0,1377.06,1.0,0.873110997881981,0.409,%{cpu_percent: 45.0; memory_mb: 512},990637,1437,3,4,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:41:48.358000Z,3,200,9,9,8,0,9.0,0.8610910145766845,20,0,20,0.0,0.0067,0.993,1.0,0.0,1424.93,1.0,0.8228090173539859,0.419,%{cpu_percent: 45.0; memory_mb: 512},988347,2290,3,6,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:41:48.370000Z,3,200,8,8,9,0,8.0,0.8047741537042399,20,0,20,0.0,0.0063,0.994,1.0,0.0,1291.86,1.0,0.6543873826527263,0.438,%{cpu_percent: 45.0; memory_mb: 512},985595,2752,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:41:48.386000Z,2,200,10,10,7,0,10.0,0.8160156595994106,20,0,20,0.0,0.0068,0.993,1.0,0.0,1404.34,1.0,0.6657707877675052,0.33,%{cpu_percent: 45.0; memory_mb: 512},983464,2131,3,8,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:41:48.410000Z,2,200,12,12,4,1,12.0,0.8641472821896193,20,0,20,0.0,0.0068,0.993,1.0,0.0,1260.92,1.0,0.6518144439842488,0.403,%{cpu_percent: 45.0; memory_mb: 512},980628,2836,3,4,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:41:48.415000Z,2,200,9,9,9,0,9.0,0.880223158518078,20,0,20,0.0,0.0076,0.992,1.0,0.0,1267.13,1.0,0.7952788583968803,0.499,%{cpu_percent: 45.0; memory_mb: 512},979024,1604,3,6,20,civ_adapt_gen9,0,100.0,0.05
