generation_number,timestamp,execution_duration_ms,episodes_created,discoveries_made,theories_formed,unknowns_resolved,research_debt,research_velocity,replication_success_rate,adaptations_evaluated,adaptations_adopted,adaptations_rejected,adaptation_success_rate,prediction_accuracy,prediction_calibration,prediction_reliability,civilization_adaptation_index,scientific_capital,institution_diversity,method_diversity,collaboration_density,resource_utilization,budget_remaining,credits_spent,canonical_transaction_count,stage3_results_count,stage4_results_count,stage5_result_id,constitutional_violations,lifecycle_completeness_pct,rollback_frequency
1,2026-06-30T17:36:44.866000Z,3,200,11,11,7,0,11.0,0.8875542346000794,20,0,20,0.0,0.0076,0.992,1.0,0.0,1345.38,1.0,0.6302722255769294,0.407,%{cpu_percent: 45.0; memory_mb: 512},997766,2234,3,6,20,civ_adapt_gen1,0,100.0,0.05
2,2026-06-30T17:36:44.880000Z,3,200,10,10,6,0,10.0,0.8974650301516878,20,0,20,0.0,0.0082,0.992,1.0,0.0,1404.15,1.0,0.7390860796977266,0.483,%{cpu_percent: 45.0; memory_mb: 512},994812,2954,3,5,20,civ_adapt_gen2,0,100.0,0.05
3,2026-06-30T17:36:44.896000Z,3,200,11,11,6,0,11.0,0.8301539061298541,20,0,20,0.0,0.0074,0.993,1.0,0.0,1294.98,1.0,0.759052996037753,0.364,%{cpu_percent: 45.0; memory_mb: 512},991573,3239,3,6,20,civ_adapt_gen3,0,100.0,0.05
4,2026-06-30T17:36:44.912000Z,3,200,10,10,8,0,10.0,0.880797511393587,20,0,20,0.0,0.0082,0.992,1.0,0.0,1424.75,1.0,0.733828582421502,0.509,%{cpu_percent: 45.0; memory_mb: 512},988829,2744,3,6,20,civ_adapt_gen4,0,100.0,0.05
5,2026-06-30T17:36:44.928000Z,3,200,11,11,7,0,11.0,0.9038990536068796,20,0,20,0.0,0.0088,0.991,1.0,0.0,1371.82,1.0,0.8267156608964017,0.387,%{cpu_percent: 45.0; memory_mb: 512},987647,1182,3,4,20,civ_adapt_gen5,0,100.0,0.05
6,2026-06-30T17:36:44.945000Z,3,200,10,10,7,0,10.0,0.9169136650428169,20,0,20,0.0,0.006,0.994,1.0,0.0,1254.01,1.0,0.7552824423981813,0.399,%{cpu_percent: 45.0; memory_mb: 512},984685,2962,3,3,20,civ_adapt_gen6,0,100.0,0.05
7,2026-06-30T17:36:44.966000Z,2,200,12,12,7,0,12.0,0.8181898349367325,20,0,20,0.0,0.0078,0.992,1.0,0.0,1451.55,1.0,0.838811475400846,0.432,%{cpu_percent: 45.0; memory_mb: 512},983273,1412,3,4,20,civ_adapt_gen7,0,100.0,0.05
8,2026-06-30T17:36:44.977000Z,3,200,12,12,6,0,12.0,0.8283339941700066,20,0,20,0.0,0.0075,0.993,1.0,0.0,1460.25,1.0,0.6003930262406986,0.413,%{cpu_percent: 45.0; memory_mb: 512},981724,1549,3,5,20,civ_adapt_gen8,0,100.0,0.05
9,2026-06-30T17:36:44.992000Z,3,200,9,9,8,0,9.0,0.8458537663112635,20,0,20,0.0,0.007,0.993,1.0,0.0,1358.07,1.0,0.6461071752078618,0.48,%{cpu_percent: 45.0; memory_mb: 512},979876,1848,3,7,20,civ_adapt_gen9,0,100.0,0.05
10,2026-06-30T17:36:45.021000Z,3,200,9,9,10,0,9.0,0.8648484084621362,20,0,20,0.0,0.0086,0.991,1.0,0.0,1374.93,1.0,0.8037190167000756,0.478,%{cpu_percent: 45.0; memory_mb: 512},978608,1268,3,8,20,civ_adapt_gen10,0,100.0,0.05
1,2026-06-30T17:41:48.458000Z,3,200,12,12,8,0,12.0,0.8875542346000794,20,0,20,0.0,0.0076,0.992,1.0,0.0,1484.56,1.0,0.6302722255769294,0.407,%{cpu_percent: 45.0; memory_mb: 512},997766,2234,3,6,20,civ_adapt_gen1,0,100.0,0.05
